texto,label
DPQ.010,Identificador
"Over the last 2 weeks, how often have you been bothered by the following problems:",Instrução
little interest or pleasure in doing things?,Pergunta
Not at all,Resposta
several days,Resposta
more than half the days,Resposta
nearly every day,Resposta
REFUSED,Resposta
DON'T KNOW,Resposta
DPQ.020,Identificador
"Over the last 2 weeks, how often have you been bothered by the following problems:",Instrução
"feeling down, depressed, or hopeless?",Pergunta
NOT AT ALL,Resposta
SEVERAL DAYS,Resposta
MORE THAN HALF THE DAYS,Resposta
NEARLY EVERY DAY,Resposta
REFUSED,Resposta
DON'T KNOW,Resposta
DPQ.030,Identificador
"Over the last 2 weeks, how often have you been bothered by the following problems:",Instrução
"trouble falling or staying asleep, or sleeping too much?",Pergunta
NOT AT ALL,Resposta
SEVERAL DAYS,Resposta
MORE THAN HALF THE DAYS,Resposta
NEARLY EVERY DAY,Resposta
REFUSED,Resposta
DON'T KNOW,Resposta
DPQ.040,Identificador
"Over the last 2 weeks, how often have you been bothered by the following problems:",Instrução
feeling tired or having little energy?,Pergunta
NOT AT ALL,Resposta
SEVERAL DAYS,Resposta
MORE THAN HALF THE DAYS,Resposta
NEARLY EVERY DAY,Resposta
REFUSED,Resposta
DON'T KNOW,Resposta
DPQ.050,Identificador
"Over the last 2 weeks, how often have you been bothered by the following problems:",Instrução
poor appetite or overeating?,Pergunta
NOT AT ALL,Resposta
SEVERAL DAYS,Resposta
MORE THAN HALF THE DAYS,Resposta
NEARLY EVERY DAY,Resposta
REFUSED,Resposta
DON'T KNOW,Resposta
DPQ.060,Identificador
"Over the last 2 weeks, how often have you been bothered by the following problems:",Instrução
feeling bad about yourself – or that you are a failure or have let yourself or your family down?,Pergunta
NOT AT ALL,Resposta
SEVERAL DAYS,Resposta
MORE THAN HALF THE DAYS,Resposta
NEARLY EVERY DAY,Resposta
REFUSED,Resposta
DON'T KNOW,Resposta
DPQ.070,Identificador
"Over the last 2 weeks, how often have you been bothered by the following problems:",Instrução
"trouble concentrating on things, such as reading the newspaper or watching TV?",Pergunta
NOT AT ALL,Resposta
SEVERAL DAYS,Resposta
MORE THAN HALF THE DAYS,Resposta
NEARLY EVERY DAY,Resposta
REFUSED,Resposta
DON'T KNOW,Resposta
DPQ.080,Identificador
"Over the last 2 weeks, how often have you been bothered by the following problems:",Instrução
moving or speaking so slowly that other people could have noticed?,Pergunta
NOT AT ALL,Resposta
SEVERAL DAYS,Resposta
MORE THAN HALF THE DAYS,Resposta
NEARLY EVERY DAY,Resposta
REFUSED,Resposta
DON'T KNOW,Resposta
DPQ.090,Identificador
"Over the last 2 weeks, how often have you been bothered by the following problems:",Instrução
Thoughts that you would be better off dead or of hurting yourself in some way?,Pergunta
NOT AT ALL,Resposta
SEVERAL DAYS,Resposta
MORE THAN HALF THE DAYS,Resposta
NEARLY EVERY DAY,Resposta
REFUSED,Resposta
DON'T KNOW,Resposta
